"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"GBR","United Kingdom","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2003","2003","USD","US Dollar","0","Units",,,54.008227,,
"GBR","United Kingdom","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2004","2004","USD","US Dollar","0","Units",,,54.686746,,
"GBR","United Kingdom","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2005","2005","USD","US Dollar","0","Units",,,55.156626,,
"GBR","United Kingdom","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2006","2006","USD","US Dollar","0","Units",,,56.070347,,
"GBR","United Kingdom","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2007","2007","USD","US Dollar","0","Units",,,56.864362,,
"GBR","United Kingdom","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2008","2008","USD","US Dollar","0","Units",,,56.899648,,
"GBR","United Kingdom","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2009","2009","USD","US Dollar","0","Units",,,55.52849,,
"GBR","United Kingdom","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2010","2010","USD","US Dollar","0","Units",,,57.078368,,
"GBR","United Kingdom","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2011","2011","USD","US Dollar","0","Units",,,57.090117,,
"GBR","United Kingdom","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2012","2012","USD","US Dollar","0","Units",,,56.706058,,
"GBR","United Kingdom","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2013","2013","USD","US Dollar","0","Units",,,56.978563,,
"GBR","United Kingdom","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2014","2014","USD","US Dollar","0","Units",,,57.118628,,
"GBR","United Kingdom","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2015","2015","USD","US Dollar","0","Units",,,58.134286,,
"GBR","United Kingdom","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2016","2016","USD","US Dollar","0","Units",,,57.91861,,
"GBR","United Kingdom","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2017","2017","USD","US Dollar","0","Units",,,58.965284,,
"GBR","United Kingdom","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2018","2018","USD","US Dollar","0","Units",,,59.243917,,
"GBR","United Kingdom","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2019","2019","USD","US Dollar","0","Units",,,59.515367,,
"GBR","United Kingdom","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2020","2020","USD","US Dollar","0","Units",,,60.202901,,
"GBR","United Kingdom","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2021","2021","USD","US Dollar","0","Units",,,59.141735,,
"USA","United States","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2000","2000","USD","US Dollar","0","Units",,,54.498167,,
"USA","United States","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2001","2001","USD","US Dollar","0","Units",,,55.693841,,
"USA","United States","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2002","2002","USD","US Dollar","0","Units",,,57.234571,,
"USA","United States","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2003","2003","USD","US Dollar","0","Units",,,58.965218,,
"USA","United States","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2004","2004","USD","US Dollar","0","Units",,,60.508037,,
"USA","United States","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2005","2005","USD","US Dollar","0","Units",,,61.772075,,
"USA","United States","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2006","2006","USD","US Dollar","0","Units",,,62.356937,,
"USA","United States","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2007","2007","USD","US Dollar","0","Units",,,63.232583,,
"USA","United States","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2008","2008","USD","US Dollar","0","Units",,,64.042431,,
"USA","United States","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2009","2009","USD","US Dollar","0","Units",,,66.089234,,
"USA","United States","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2010","2010","USD","US Dollar","0","Units",,,67.835887,,
"USA","United States","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2011","2011","USD","US Dollar","0","Units",,,67.86187,,
"USA","United States","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2012","2012","USD","US Dollar","0","Units",,,68.118059,,
"USA","United States","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2013","2013","USD","US Dollar","0","Units",,,68.407849,,
"USA","United States","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2014","2014","USD","US Dollar","0","Units",,,68.665009,,
"USA","United States","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2015","2015","USD","US Dollar","0","Units",,,69.047471,,
"USA","United States","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2016","2016","USD","US Dollar","0","Units",,,69.256659,,
"USA","United States","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2017","2017","USD","US Dollar","0","Units",,,69.876907,,
"USA","United States","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2018","2018","USD","US Dollar","0","Units",,,70.664702,,
"USA","United States","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2019","2019","USD","US Dollar","0","Units",,,71.520554,,
"USA","United States","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2020","2020","USD","US Dollar","0","Units",,,73.957559,,
"USA","United States","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2021","2021","USD","US Dollar","0","Units",,,74.838217,,
